,x_query,y_query,x_train,y_train,Distance
Matches48,260.35528564453125,51.717220306396484,245.1475830078125,33.885520935058594,219.8567657470703
Matches49,261.3550109863281,195.6750946044922,248.38121032714844,182.67271423339844,117.025634765625
Matches50,262.3830261230469,269.7453918457031,258.0259704589844,264.1591796875,107.77754974365234
Matches51,262.6304016113281,153.16470336914062,248.45387268066406,137.82174682617188,118.0169448852539
Matches52,266.99981689453125,122.87726593017578,246.4748992919922,101.85697174072266,123.30044555664062
Matches53,267.5114440917969,69.20555877685547,247.53109741210938,50.27580261230469,133.52902221679688
Matches54,270.1527404785156,118.06592559814453,249.5436553955078,97.34122467041016,127.39701843261719
Matches55,271.2072448730469,157.83999633789062,256.6044616699219,144.03945922851562,118.04660034179688
Matches56,275.1216735839844,135.78646850585938,254.69125366210938,116.65279388427734,231.36119079589844
Matches57,275.40771484375,100.45341491699219,255.65318298339844,80.89305114746094,211.79470825195312
Matches58,279.6248474121094,175.92642211914062,265.1923828125,160.6523895263672,225.28204345703125
Matches59,281.2118225097656,100.66415405273438,261.36004638671875,80.78575134277344,194.49163818359375
Matches60,281.75457763671875,228.3969268798828,277.2398376464844,224.71339416503906,137.42269897460938
Matches61,283.0206604003906,51.4288444519043,267.154541015625,34.35669708251953,184.6835174560547
Matches62,283.49151611328125,129.06997680664062,264.5060119628906,110.26693725585938,99.0555419921875
Matches63,287.0218505859375,110.1983871459961,268.30291748046875,91.07884979248047,161.98765563964844
Matches64,288.39630126953125,64.31572723388672,269.8612976074219,45.317413330078125,137.49908447265625
Matches65,291.4692687988281,49.18903350830078,276.92535400390625,34.78498840332031,223.00897216796875
Matches66,292.9206848144531,74.3729248046875,274.8127136230469,55.15204620361328,193.6569061279297
Matches67,293.0392150878906,111.46846008300781,274.31695556640625,92.80754852294922,155.21597290039062
Matches68,293.650146484375,129.1606903076172,275.27728271484375,110.56249237060547,66.95520782470703
Matches69,293.6830749511719,134.4502716064453,276.05609130859375,117.82427215576172,221.3707275390625
Matches70,294.3392333984375,157.80018615722656,280.08782958984375,142.87741088867188,145.52662658691406
Matches71,294.5470886230469,419.7887878417969,288.8846130371094,410.3943176269531,80.76509094238281
Matches72,295.8354797363281,447.6553039550781,298.9401550292969,438.2463073730469,231.8792724609375
Matches73,298.2550354003906,123.39192199707031,279.91168212890625,104.94879150390625,138.02536010742188
Matches74,299.1533508300781,233.44593811035156,299.5025329589844,234.1503448486328,115.37763977050781
Matches75,299.8918762207031,234.10067749023438,299.5025329589844,234.1503448486328,124.07659149169922
Matches76,299.9226379394531,96.10016632080078,280.9070739746094,76.60896301269531,79.3725357055664
Matches77,299.9226379394531,96.10016632080078,280.9070739746094,76.60896301269531,79.60527801513672
Matches78,301.6322937011719,477.61676025390625,292.0376892089844,469.3800964355469,174.59381103515625
Matches79,301.9267883300781,81.99394989013672,282.967529296875,63.58961486816406,197.23336791992188
Matches80,302.9591979980469,129.23194885253906,284.77142333984375,111.16085815429688,75.94734954833984
Matches81,303.369140625,66.15657806396484,286.3062438964844,49.23967361450195,134.368896484375
Matches82,304.94720458984375,72.97885131835938,288.07012939453125,56.09901809692383,92.6822509765625
Matches83,308.71429443359375,110.09264373779297,290.876953125,91.97123718261719,129.09686279296875
Matches84,309.32177734375,422.9969482421875,258.0259704589844,264.1591796875,218.80813598632812
Matches85,310.2449951171875,103.29243469238281,291.7719421386719,84.86466217041016,74.11477661132812
Matches86,310.5200500488281,403.80108642578125,303.5351867675781,396.6871643066406,161.4713592529297
Matches87,311.0645446777344,388.43255615234375,304.08135986328125,381.07952880859375,131.84840393066406
Matches88,311.5229187011719,412.0304870605469,304.6933288574219,404.9889221191406,173.98851013183594
Matches89,314.39202880859375,113.20398712158203,296.9828186035156,95.90281677246094,216.05091857910156
Matches90,316.184814453125,90.39252471923828,297.4808044433594,71.62985229492188,67.49073791503906
Matches91,317.0080261230469,121.65164947509766,299.96270751953125,103.89738464355469,177.84262084960938
Matches92,317.83734130859375,105.18070220947266,299.9152526855469,87.84049987792969,119.64530944824219
Matches93,318.1782531738281,127.58319854736328,300.61077880859375,109.77153778076172,93.6589584350586
Matches94,319.1329650878906,357.0505065917969,313.0684509277344,350.13824462890625,110.0
Matches95,320.38909912109375,73.26343536376953,303.9114074707031,55.89558410644531,167.8213348388672
Matches96,321.29852294921875,123.39568328857422,303.53009033203125,105.59556579589844,111.63333129882812
Matches97,321.76904296875,93.50591278076172,302.9287109375,75.13533782958984,216.7025604248047
Matches98,322.64739990234375,108.24100494384766,305.39874267578125,90.96977996826172,99.39315795898438
Matches99,323.1466979980469,130.46124267578125,304.953125,113.33023071289062,115.8792495727539
Matches100,323.1563415527344,113.33744049072266,305.682373046875,95.8506088256836,64.28841400146484
Matches101,324.64337158203125,65.76576232910156,307.7483215332031,48.93002700805664,256.6709899902344
Matches102,325.72222900390625,123.48892974853516,308.2872314453125,106.07037353515625,170.52566528320312
Matches103,326.92999267578125,118.32136535644531,309.546630859375,100.92208099365234,119.74974060058594
Matches104,328.1281433105469,84.86781311035156,311.0406799316406,67.83953094482422,165.26040649414062
