,x_query,y_query,x_train,y_train,Distance
Matches47,148.55226135253906,467.9841003417969,129.35711669921875,449.2665710449219,102.85426330566406
Matches48,150.14329528808594,423.90606689453125,133.0261688232422,405.54058837890625,118.70552062988281
Matches49,152.6536407470703,274.1378173828125,130.17958068847656,251.96656799316406,159.56503295898438
Matches50,152.8594207763672,409.4119873046875,134.9289093017578,390.8335876464844,135.48800659179688
Matches51,154.3162841796875,467.8537292480469,134.83604431152344,448.2988586425781,104.26409149169922
Matches52,155.07913208007812,271.79998779296875,132.9337158203125,251.1913604736328,158.9245147705078
Matches53,158.82972717285156,452.4054870605469,139.92550659179688,434.283935546875,114.80853271484375
Matches54,162.46539306640625,231.5066375732422,139.20953369140625,209.03521728515625,151.9769744873047
Matches55,168.2462158203125,391.8055725097656,148.32093811035156,372.526123046875,69.31810760498047
Matches56,169.3202362060547,452.80120849609375,150.42031860351562,433.9327697753906,149.5660400390625
Matches57,169.8356170654297,443.3859558105469,151.4228515625,427.23431396484375,182.38421630859375
Matches58,169.8356170654297,443.3859558105469,151.4228515625,427.23431396484375,178.05897521972656
Matches59,173.06533813476562,436.6048583984375,153.8683624267578,417.6533203125,93.23089599609375
Matches60,174.34230041503906,474.01171875,154.4009246826172,454.1106262207031,148.22618103027344
Matches61,177.94984436035156,232.78053283691406,154.6663818359375,209.96612548828125,221.04750061035156
Matches62,180.64898681640625,285.8838195800781,157.84530639648438,262.8512878417969,88.26663970947266
Matches63,181.86575317382812,231.0591583251953,158.72389221191406,208.2506561279297,213.9415740966797
Matches64,182.14784240722656,271.81201171875,159.10191345214844,252.15652465820312,195.86985778808594
Matches65,182.83731079101562,452.674560546875,163.99301147460938,433.99798583984375,119.39430236816406
Matches66,184.30995178222656,220.40170288085938,163.4667205810547,199.92532348632812,156.31698608398438
Matches67,188.9605255126953,229.82278442382812,166.06866455078125,207.31658935546875,195.69363403320312
Matches68,189.90805053710938,368.0943908691406,169.5335693359375,347.6313171386719,94.87886810302734
Matches69,190.21597290039062,450.2893371582031,171.43336486816406,431.8260498046875,127.25564575195312
Matches70,190.21597290039062,450.2893371582031,171.43336486816406,431.8260498046875,74.5654067993164
Matches71,191.86468505859375,370.0069274902344,171.52584838867188,349.6617431640625,54.71745681762695
Matches72,192.02883911132812,365.0899963378906,171.41574096679688,345.0124206542969,157.00318908691406
Matches73,195.38284301757812,447.3836975097656,176.98561096191406,429.1174011230469,90.19977569580078
Matches74,196.28829956054688,456.3589782714844,177.255126953125,437.7200012207031,83.654052734375
Matches75,196.4926300048828,451.11773681640625,178.016845703125,432.67578125,166.5052490234375
Matches76,201.71478271484375,271.5353698730469,180.13235473632812,250.0100860595703,228.93667602539062
Matches77,202.46484375,436.5558166503906,184.55136108398438,419.331787109375,96.52460479736328
Matches78,203.95184326171875,314.1527099609375,111.93756103515625,111.84968566894531,164.05181884765625
Matches79,209.76820373535156,453.48272705078125,192.30764770507812,435.3151550292969,57.157676696777344
Matches80,212.83917236328125,433.4020690917969,195.8716278076172,416.11236572265625,219.488037109375
Matches81,214.65585327148438,427.64044189453125,198.01719665527344,411.00360107421875,96.78326416015625
Matches82,215.4710235595703,219.0796661376953,221.4078826904297,224.38583374023438,254.0570831298828
Matches83,215.5335693359375,204.93551635742188,223.8242950439453,212.87744140625,226.33824157714844
Matches84,220.22586059570312,431.1656494140625,203.63099670410156,414.46453857421875,81.92679595947266
Matches85,220.22586059570312,431.1656494140625,203.63099670410156,414.46453857421875,81.4616470336914
Matches86,223.29185485839844,223.15872192382812,227.98651123046875,227.56658935546875,145.027587890625
Matches87,237.3750762939453,216.91307067871094,242.91311645507812,222.6614532470703,117.23480987548828
Matches88,239.4785919189453,185.31382751464844,246.47354125976562,192.85958862304688,88.32893371582031
Matches89,244.25338745117188,263.8628234863281,243.4882049560547,263.9216003417969,147.6651611328125
Matches90,245.9924774169922,178.6820526123047,253.66775512695312,186.7744598388672,202.9310302734375
Matches91,250.58709716796875,218.9556121826172,255.85023498535156,223.96884155273438,110.61193084716797
Matches92,253.06192016601562,202.423583984375,258.12713623046875,207.588134765625,74.0
Matches93,258.05047607421875,199.5553436279297,262.7794494628906,204.7325439453125,89.21322631835938
Matches94,258.05047607421875,199.5553436279297,262.7794494628906,204.7325439453125,70.38465881347656
Matches95,259.4580993652344,220.15460205078125,264.8104248046875,225.0432891845703,132.62351989746094
Matches96,263.8110656738281,271.58477783203125,267.00885009765625,273.4887390136719,180.6128387451172
Matches97,265.058837890625,415.81109619140625,252.84130859375,404.122314453125,118.54534912109375
Matches98,268.51446533203125,399.2272033691406,259.1245422363281,389.7297058105469,121.43310546875
Matches99,268.51446533203125,399.2272033691406,259.1245422363281,389.7297058105469,117.69451904296875
Matches100,269.67071533203125,405.2247314453125,259.4189758300781,394.89398193359375,101.0346450805664
Matches101,271.2229309082031,200.10818481445312,276.50634765625,205.16700744628906,143.4956512451172
Matches102,275.41168212890625,394.8150634765625,266.92803955078125,385.9112854003906,209.36570739746094
